	acc model caption	acc human caption	is_video	model caption	human caption	img_set	target_idx	acc annot on model	acc annot on human
67	1	1	1	A woman standing next to a TV in front of a television.	The man is facing left with both feet slightly back and no gap visible between the legs. The background is orange. The woman's face is pointed to the left.	MSR-VTT-videoTestVideo_video9219-shot1_3	7	0	0
68	0	0	1	A photo of a person standing next to a television.	There is a man and woman dancing, with another couple off to the left. The man's back is facing the camera and there appears to be something white hanging from his back pocket.	MSR-VTT-videoTestVideo_video9219-shot1_3	9	0	1
72	1	0	1	A young girl holding a kite in her hand.	Her right arm is pulled back in a fist past her hair.	MSR-VTT-videoTestVideo_video7170-shot3_0	0	0	1
74	1	1	1	A young girl holding onto a pink baseball bat.	The girl is looking very sad at the bow. The bow is pointed to the left and almost towards the camera.	MSR-VTT-videoTestVideo_video7170-shot3_0	2	1	1
75	1	0	1	A group of people looking at each other in the mirror.	There is a woman on the very right side of the door. Her face is fully in view.	MSR-VTT-videoTestVideo_video9560-shot1_0	0	1	1
76	1	1	1	A group of people standing in front of a door.	the lady on the right can be seen but her face is not visible but you can see her neck	MSR-VTT-videoTestVideo_video9560-shot1_0	1	0	1
79	0	0	1	Two people standing next to each other on a tennis court.	The two wrestlers are shaking hands. 	MSR-VTT-videoTestVideo_video9375-shot1_4	7	0	1
80	1	0	1	A piece of meat on a plate on a table.	The image is blurred and it looks like two piles of ribs are being set on a plate.	YouCook-video0017-shot2_1	0	0	0
81	0	0	1	A man walking down a street with a hat on his head.	the picture is in focus and his arms are behind his back	MSR-VTT-videoTestVideo_video9489-shot2_1	8	1	0
83	0	0	1	A close up of a person holding an umbrella.	There is a large pan that fills up the photo. A piece of aluminum foil is visible at the top right. You can just barely see the image of a hand at the bottom right.	MSR-VTT-videoTestVideo_video7925-shot1_2	5	0	0
85	1	0	1	A group of kites hanging on top of a pole.	Goofy's hand is straight up in the air and he's making a fist while riding a smiling horrse.	MSR-VTT-videoTestVideo_video8183-shot0_0	3	0	1
87	1	0	1	A person holding a bowl of food on top of a table.	The hamster right leg is the touching the finger holding it down.	MSR-VTT-videoTestVideo_video8672-shot1_1	1	0	0
89	1	1	1	a close up of a person holding a pair of scissors.	The thumbs appear to be touching on the two hands. 	MSR-VTT-videoTestVideo_video9799-shot1_0	6	0	1
90	1	0	1	A person holding a remote holding a video game controller.	The phone is mostly the side view, and the camera is barely visible. No screen is visible.	MSR-VTT-videoTestVideo_video9799-shot1_0	7	0	1
94	0	0	1	A man in a suit and tie standing in front of a building.	The man's hands are fully visible but blurry	MSR-VTT-videoTestVideo_video9379-shot1_1	1	0	1
99	1	1	1	a close up of a person cutting a piece of meat.	The finger of the hand are close together and above a piles of leaves. The thumb is close to the index finger.	video-storytelling-videocamping_EytINruY3-U-shot37_1	2	1	1
103	1	1	1	A man standing next to a mirror in a bathroom.	A man is looking out of a window.  You can see a hand appear on the far left of the screen next to a red object that is hanging. 	MSR-VTT-videoTestVideo_video8325-shot3_0	1	0	0
107	0	1	1	A couple of people swimming in the water.	Swimmer is completely vertical. Horizontal swimmer is barely visible.	MSR-VTT-videoTestVideo_video9830-shot1_0	5	0	1
108	0	0	1	A person is swimming in the water.	The water the person is in is quite dark. There is an image of them swimming horizontally layered on them but is not as in focus as them standing vertically. Their legs, not covered by the swimsuit, is almost covered from view.. 	MSR-VTT-videoTestVideo_video9830-shot1_0	6	0	0
112	0	0	1	A group of people on a boat in the water.	The top of the red object is right at the top of the picture.  Half of the 2nd letter on the right is seen while the other part is submerged. 	MSR-VTT-videoTestVideo_video7795-shot1_2	6	0	1
114	1	0	1	A person cutting a piece of bread on a table.	both hands seems straight on the meat, while the right hand is looking more flat placed on top of the meat and clearly visible	YouCook-video0017-shot2_0	5	0	1
118	1	0	1	A basketball player jumping up to catch a ball.	The ball has just left the hands of the person with the red jersey.  	MSR-VTT-videoTestVideo_video8013-shot1_0	5	1	1
119	0	0	1	A basketball player jumping into the air to catch a ball.	The ball is in the air and is above and to the left of the clock on top of the backboard.  There is no blur in the ball	MSR-VTT-videoTestVideo_video8013-shot1_0	6	0	1
120	1	0	1	An image of a crowd of people watching a basketball game.	The ball is high in the air with only black behind it. The number on the red jersey is not legible at all.	MSR-VTT-videoTestVideo_video8013-shot1_0	7	0	1
121	1	0	1	A girl and a boy standing next to each other in a room.	The woman has mostly straightened posture as she faces the boy in blue with her mouth open	MSR-VTT-videoTestVideo_video8037-shot1_0	3	0	1
123	0	0	1	A woman standing next to a man in a pink dress.	The shot of a woman talking to a man in a blue shirt is starting to get really dark but you can clearly see them. 	MSR-VTT-videoTestVideo_video8037-shot1_0	5	0	0
125	1	0	1	A man standing in front of a fence.	There is a red object in the lower right corner of the image.  It is the largest piece of red you can see. 	MSR-VTT-videoTestVideo_video7174-shot1_1	7	0	1
127	0	0	1	A group of people standing next to each other.	There are two men with beanies on the right of the image, one is wearing glasses with his nose not visible and the other is looking down with white text on his face.	MSR-VTT-videoTestVideo_video9235-shot2_0	8	0	0
129	1	0	1	A piece of bread sitting on top of a cutting board.	Olive oil bottle is seen but no label is clearly visible.	YouCook-video0035-shot4_0	1	0	1
130	0	0	1	A man laying on top of a tennis ball.	The tip of the right shoe is fully visible with a small bit of space between the tip and the top of the picture. 	MSR-VTT-videoTestVideo_video7523-shot2_0	3	0	0
132	0	0	1	A painting of a man holding an umbrella in a field.	There is some overlay with a man in the center left of the shot.  You can still barely read the letters below and to the left of him. 	MSR-VTT-videoTestVideo_video7412-shot1_0	3	0	0
137	0	1	1	A person cutting up a sandwich on a plate.	One leaf behind the cheese with the hand obscuring almost all of it. Can see a little of the cheese between his index and middle finger	YouCook-video0082-shot1_0	2	0	1
138	1	0	1	A couple of people walking down a street.	The headlight on the blue car to the left is not yet visible. 	MSR-VTT-videoTestVideo_video7692-shot2_3	0	0	1
141	1	1	1	A woman sitting in front of a parked car.	The woman's head rests on her hand and her eyes are mid-blink, almost entirely closed	video-storytelling-videocamping_dBXYM3dQTSo-shot75_2	1	0	1
142	0	1	1	A woman holding a piece of paper over her head.	Her right thumb appears to pull at some lower strands of hair, pulling very slightly outward.	video-storytelling-videocamping_dBXYM3dQTSo-shot75_2	2	0	1
143	1	0	1	A woman is standing next to a fence.	Girl has her mouth open but no teeth showing and index finger up and thumb	video-storytelling-videocamping_dBXYM3dQTSo-shot75_2	3	1	1
147	1	0	1	A horse standing next to a person in a barn.	Horse is on left side facing the right and looking straight ahead. Can only see the man's legs behind the horse while upper body is obstructed	MSR-VTT-videoTestVideo_video9858-shot1_1	7	0	1
152	0	0	1	Two people sitting on the back of a car.	Can see both people's legs. Girl with mouth open looking in direction of dashbaord	MSR-VTT-videoTestVideo_video8971-shot0_0	5	0	0
154	0	0	1	A group of people sitting on top of a train.	You can see a golden object at the very top center of the picture.  You can't see the entire golden object. 	MSR-VTT-videoTestVideo_video8689-shot1_2	7	1	0
155	0	1	1	A group of people walking around in a crowded room.	There is a long pink runway going down and to the right. No one is visible in front of it. There are two groups of people visible to the right of it.	MSR-VTT-videoTestVideo_video7522-shot8_0	3	0	1
156	1	1	1	A blurry image of a person standing in front of a large screen.	A bald man's head covers a  lot of the crowd and signs in the background.	MSR-VTT-videoTestVideo_video7522-shot8_0	4	1	1
157	1	1	1	A group of people are standing in a store.	the man in yellow shirt can be seen to the right edge of the image	MSR-VTT-videoTestVideo_video7522-shot8_0	5	0	1
159	0	0	1	a close up of a slice of broccoli on a plate.	the picker is in the middle, away from the plate slightly but its not carrying nothing , fings not visible but skin can be seen far left bottom	YouCook-video0035-shot9_2	4	0	0
163	1	0	1	A person using a silver plate to make a cake.	The white substance has not been poured yet and the index finger is prominent.	YouCook-video0036-shot0_0	1	0	1
165	0	1	1	A person is pouring some powdered sugar into a bowl.	The person's hand is holding a white container almost directly above the white sauce in the middle. 	YouCook-video0036-shot0_0	3	0	0
168	1	0	1	A couple of children playing with a bowl of peanut butter.	The red dog's head is just starting to get cut off on the far right  of the image. 	video-storytelling-videobirthday__amwPjAcoC8-shot61_4	4	0	0
169	1	0	1	A little boy with a Mickey Mouse hat on his head.	A smiling boy just begins to look towards the dog	video-storytelling-videobirthday__amwPjAcoC8-shot29_0	7	0	0
170	1	1	1	A little boy with a cartoon face eating a plate of food.	the costum guy has his face mostly up and forward and you can see a characters eye on the hanging item behidn the kid	video-storytelling-videobirthday__amwPjAcoC8-shot29_0	8	0	1
171	0	1	1	A person is posing for a picture with a stuffed animal.	The mouse is looking in the camera.	video-storytelling-videobirthday__amwPjAcoC8-shot29_0	9	0	1
173	0	0	1	A little boy wearing a hat and holding a cell phone.	The girl has her right hand up in her hair and her other hand is pointed towards the poster on the wall slightly above waist level. 	video-storytelling-videobirthday__amwPjAcoC8-shot73_6	5	0	1
175	0	0	1	A couple of people kissing on a beach.	There neck of the girl in orange is right against the right side, there is no space between her neck and the edge.	MSR-VTT-videoTestVideo_video7041-shot0_5	7	0	1
177	0	0	1	A view of a city street with traffic lights.	The entire vehicle is in shadows. The light is just behind the vehicle, so it just got into the shadows.	MSR-VTT-videoTestVideo_video8070-shot1_11	5	0	0
178	0	0	1	A woman is standing in front of a television.	The woman on the white sign to the left has everything from her forehead up off frame	MSR-VTT-videoTestVideo_video8454-shot1_1	4	1	1
179	1	0	1	A woman standing in front of a television monitor.	There is blurry text at the very bottom of the screen. Only one human head is visible, the heads in the photos in the upper corners are cut off by the upper edge .	MSR-VTT-videoTestVideo_video8454-shot1_1	5	0	0
181	0	0	1	A woman holding a microphone in front of a stage.	The man is standing straight forwards and his hand is on the left of his chest. 	MSR-VTT-videoTestVideo_video9243-shot1_1	6	0	1
182	0	0	1	A man jumping into a chair while holding a chair.	The woman's head in green on the right can't be seen.  Her arm is seen at a 90 degree angle but no fingers are seen. 	MSR-VTT-videoTestVideo_video9082-shot1_1	3	0	1
185	0	0	1	A group of colorful vases sitting on a sidewalk.	You can see most of the circles of paint very clearly but the ones at the bottom are cut off. There are no fingers or legs seen. 	MSR-VTT-videoTestVideo_video8408-shot1_0	4	0	0
189	1	0	1	A group of people playing a game of rugby.	The player in green has his left arm in the air as he is falling	MSR-VTT-videoTestVideo_video9823-shot3_1	4	0	1
190	0	0	1	A group of people playing a game of rugby.	The two players at left have their butts very close together but not touching or overlapping..	MSR-VTT-videoTestVideo_video9823-shot3_1	5	0	1
191	0	0	1	A group of people playing a game of rugby.	The man in green has his knees on the ground and is leaning back.  His left hand has just touched the ground. 	MSR-VTT-videoTestVideo_video9823-shot3_1	6	0	1
193	0	1	1	A person cooking a meal on top of a stove.	Meat browning in the pan being stirred with a utensil	YouCook-video0050-shot1_0	9	0	1
196	1	0	1	A group of women standing on a dirt road.	There is just a tiny gap between the back of the girl on the left and the edge of the frame.	video-storytelling-videocamping_1OzbiB1TIWI-shot14_7	3	0	0
197	0	0	1	A couple of people walking down a street next to a fire hydrant.	A person can be seen running to get into a red vehicle.  Four small yellow rectangular lights are seen on the top of the red truck. 	MSR-VTT-videoTestVideo_video7689-shot1_0	1	0	1
200	0	0	1	A couple of people standing next to each other.	The young girl is at the right edge of the picture, facing right, with arms slightly extended and cut off just below the elbow. 	MSR-VTT-videoTestVideo_video7485-shot2_1	7	0	0
201	1	0	1	A child is standing next to a wooden fence.	There are two green blurs and one purple blur that is almost cut off on the right side.	MSR-VTT-videoTestVideo_video7485-shot2_1	8	1	0
205	0	0	1	a close up of a girl brushing her hair.	The pencil is pointed at the girl's eye	MSR-VTT-videoTestVideo_video7996-shot2_0	7	0	1
206	1	1	1	A woman standing in front of a mirror with a cell phone in her hand.	Picture where girl is touching her eye with her middle and ring fingers	MSR-VTT-videoTestVideo_video7996-shot2_0	8	0	1
209	0	0	1	A group of kids running around in a field.	There's a white pole between the left most kid and the two to his right. There is no yellow pole visible. 	MSR-VTT-videoTestVideo_video9523-shot1_4	6	0	1
213	0	0	1	A young girl holding a baseball bat in a grassy field.	The tip of his nose is overlapping the toy and his mouth is open.	MSR-VTT-videoTestVideo_video7542-shot9_0	6	0	1
215	1	0	1	A young girl wearing a hat and riding a skateboard.	The little boy has brought the green object away from his mouth and part of it is off the bottom part of the image. 	MSR-VTT-videoTestVideo_video7542-shot9_0	8	0	0
221	0	0	1	A cat is standing on a bed with a leg on it.	The top part of the tail is cut of at the top of the picture but you can still see the bottom half of the tail. 	MSR-VTT-videoTestVideo_video9455-shot1_4	5	0	0
222	0	0	1	A woman sitting on a bench holding a cup of coffee.	The woman on the right is standing pretty straight up and her left arm is bent at a 90 degree angle. 	video-storytelling-videocamping_1OzbiB1TIWI-shot43_13	0	0	0
227	1	0	1	A person cutting a bowl with scissors.	A blurred hand is positioned about a little less than halfway in front of a metal tool above a bowl.	YouCook-video0063-shot17_1	5	0	0
228	0	0	1	A person cutting up a candy bowl with a spoon.	A right forearm holding a food item, over a bowl on a grater	YouCook-video0063-shot17_1	6	0	0
229	0	0	1	a close up of a person cutting up a candy bowl.	The person holds the lemon over the grater. The grater's little pieces are reflecting the light and has a visible light coming off of each one. 	YouCook-video0063-shot17_1	7	0	1
230	1	0	1	A yellow bus sitting on the side of a road.	The right exhaust can't be seen for the first time in the image.  You can start to see a brick object on the upper left corner of the image. 	MSR-VTT-videoTestVideo_video9975-shot1_0	7	0	1
232	1	0	1	A metal bowl with a metal pot on top of it.	The empty silver bowl is centered, and just a tiny edge of the bowl below it can be seen.	MSR-VTT-videoTestVideo_video8062-shot1_2	8	0	0
234	1	0	1	A person baking bread in a pan on a table.	A spoon is mixing in a bowl. You can see a woman's pointer finger and thumb.	YouCook-video0097-shot9_0	1	0	0
237	1	0	1	A person holding a bowl of food in front of a bowl of vegetables.	Spoon is being inserted into a small bowl.	MSR-VTT-videoTestVideo_video7254-shot1_6	4	0	0
238	1	0	1	A photo of a woman with her face covered by a blanket.	The image is slightly double-exposed, so the central woman appears to have a big pale nose.	MSR-VTT-videoTestVideo_video8954-shot1_0	4	0	0
239	0	0	1	A group of people standing on a basketball court.	The men stand facing close to each other, at the most equal and similar heights.	MSR-VTT-videoTestVideo_video8509-shot1_1	1	0	1
241	1	1	1	A person jumping into the air in a basketball hoop.	A person completely a slam dunk in a gym and ball is headed back to the ground. 	MSR-VTT-videoTestVideo_video8715-shot0_0	2	1	0
242	1	1	1	A couple of people standing on top of a basketball court.	The man is shooting a three pointer and his feet are still on the ground. 	MSR-VTT-videoTestVideo_video8715-shot0_0	3	1	0
249	0	0	1	A man in a suit and tie stands in front of a group of people.	The man is pretty much centered in the picture, there is white writing at the bottom right. His head is covering most of the silver pole behind him but it's still visible to the left of his cheek.	MSR-VTT-videoTestVideo_video9608-shot8_0	5	0	0
250	0	0	1	A man standing in a room with a cell phone in his hand.	There is text at the bottom of the screen.  The man looking off to the left and the first 6 letters of the second word of text are over top of the man's neck. 	MSR-VTT-videoTestVideo_video9608-shot8_0	6	0	0
251	0	0	1	A man holding a cell phone in his hands.	The man is looking to the left, his head is covering the entire vertical metal bar behind him.	MSR-VTT-videoTestVideo_video9608-shot8_0	7	0	0
255	0	0	1	A little boy playing with a toy on the floor.	A boy is holding onto a toy and looking at it. Another boy is also looking at it and only the rim of his hat is visible.	video-storytelling-videobirthday__amwPjAcoC8-shot37_0	7	0	0
260	0	0	1	A woman standing next to a man in a kitchen.	The standing woman is cut off above the tip of her nose. You can see her mouth, but not her eyes.	video-storytelling-videobirthday_fwpYnUDbusw-shot9_1	8	0	1
269	0	0	1	A man jumps onto a basketball court while standing on a hoop.	The person in the center has their arms up over their head in a Y shape.  His mouth is wide open. 	MSR-VTT-videoTestVideo_video9044-shot1_0	6	1	1
270	1	0	1	A woman standing on top of a basketball rack.	The middle male dancer has his arms behind his back.	MSR-VTT-videoTestVideo_video9044-shot1_0	7	0	0
273	1	0	1	A person holding a sandwich on top of a plate.	The top bread is put onto the sandwich.	YouCook-video0024-shot5_0	9	1	1
280	0	0	1	A person holding a piece of pizza on top of a plate.	Only one arm and hand are visible, it's reaching all the way across the picture. The food on the plate is almost entirely visible, only the very top is covered by the arm.	YouCook-video0082-shot3_0	9	0	0
282	1	0	1	A view of a street with a van on the side of the road.	front driver tire about to drive up on sidewak	MSR-VTT-videoTestVideo_video8468-shot1_0	8	0	0
283	1	0	1	a close up of a woman with a cell phone.	Part of the right side (picture left side) of the woman's face is covered by the shoulder of the person in front of her.  Her teeth are bared and you can see both top and bottom teeth clearly. 	MSR-VTT-videoTestVideo_video7051-shot3_0	5	0	1
284	1	0	1	A man riding a snowboard down a snowy mountain.	8 people are visible on a snowy mountainside in a mostly clear photo	MSR-VTT-videoTestVideo_video7564-shot1_0	1	0	1
285	0	0	1	A snowboarder is flying over a mountain.	In total, eight dark figures are seen at lower right, but they are blurry.	MSR-VTT-videoTestVideo_video7564-shot1_0	2	0	1
288	0	0	1	A blurry image of a red and black couch.	You can just start to see the ankles of the red person that is standing to the right of the text on the green wall.  The image is extremely blurry. 	MSR-VTT-videoTestVideo_video9363-shot2_0	2	1	0
292	0	0	1	A woman is sitting on top of a basketball court.	There is a referee on the front left side of the picture. You can see the one hand and fingers and the inner palm of the hand. 	MSR-VTT-videoTestVideo_video8309-shot1_0	6	0	1
294	1	0	1	A close up of a person holding a baby on a bed.	The large cat is cut off under its eyes at the top edge and is blurry.	MSR-VTT-videoTestVideo_video9672-shot1_1	1	0	0
295	0	0	1	A cat laying on top of a person's bed.	The large cat's eyes are both in frame but closed.	MSR-VTT-videoTestVideo_video9672-shot1_1	3	0	0
296	1	1	1	A woman is standing with her hands up in the air.	The man's head is moving upward slightly causing his image to be very blurry. 	MSR-VTT-videoTestVideo_video9241-shot1_0	3	0	1
298	0	0	1	A basketball player standing next to a basketball court.	You can see a line going down on the left side of the image, it is from the blue squares and it is very close to the left edge but not touching.	MSR-VTT-videoTestVideo_video8465-shot1_0	2	0	0
300	0	0	1	A woman standing in front of a dresser in a room.	The woman's lips are puckered and a strand of hair is coming out, positioned as though it's coming out of her mouth. Her eyes are visible and her left eye is just under the top of the photo edge.	MSR-VTT-videoTestVideo_video7265-shot1_2	8	0	0
306	0	0	1	A young girl playing with a frisbee in a field.	Just the very edge of the inflated toy is shown.	MSR-VTT-videoTestVideo_video7428-shot2_1	7	0	0
307	1	0	1	A girl playing with a Frisbee in a yard.	There are two balloons on a small table. The girl's bent left arm has a small gap in between the bend..	MSR-VTT-videoTestVideo_video7428-shot2_1	8	0	0
308	1	0	1	A young girl playing with a Frisbee in a grassy area.	You can fully see the orange balloon on the table.  The girl's right foot is getting close to coming down to the ground. 	MSR-VTT-videoTestVideo_video7428-shot2_1	9	0	1
310	0	0	1	A man standing in front of a fence holding a horse.	One man is visible and his fingers are directed at his own face.	MSR-VTT-videoTestVideo_video8416-shot0_0	2	0	0
312	1	0	1	A horse that is standing in a grassy area.	You can still barely see the white on the horse's front left leg.	MSR-VTT-videoTestVideo_video9311-shot1_0	5	0	0
313	1	1	1	A person is holding a pair of hair dryers.	The horses far leg is entirely covered up by his front leg.	MSR-VTT-videoTestVideo_video9311-shot1_0	6	0	1
315	0	0	1	A woman is holding a pair of scissors in her hand.	Her mouth is partially blocked by her hand.  You can see part of her open mouth and can see her top teeth. 	MSR-VTT-videoTestVideo_video7429-shot0_0	4	0	1
319	0	0	1	A collage of various food items in front of a refrigerator.	There is a small diamond shape in the center of a collage of pictures.  You can just see a man's neck and chin. No mouth or nose is seen. 	MSR-VTT-videoTestVideo_video8020-shot1_0	6	0	1
324	0	0	1	A group of children standing next to balloons.	The boy in orange is touching the balloon. The slide is visible behind him on the left side. His backpack is going out of the frame on the bottom.	video-storytelling-videobirthday__amwPjAcoC8-shot68_4	4	0	1
325	1	1	1	A person standing in the middle of a room.	A hand takes up the majority of the foreground of the picture	MSR-VTT-videoTestVideo_video7465-shot7_0	0	1	1
326	1	0	1	A man riding a skis in the air.	The person's hand on the right is covering up most of his face but you can still see a bit of his sunglasses. 	MSR-VTT-videoTestVideo_video7465-shot7_0	1	0	1
327	1	0	1	A couple of men riding a boat on a mountain.	The person's hand on the right is covering up the lower left part of his face.  You can see his mouth is open and the hand is covering a bit of his mouth. 	MSR-VTT-videoTestVideo_video7465-shot7_0	2	0	1
329	0	0	1	A person holding a piece of cake on a plate.	A wrist and hand holding an object coming in from the left side of the image. You can't see much of their forearm at all. 	video-storytelling-videobirthday_fwpYnUDbusw-shot63_5	5	0	1
330	0	0	1	A group of people sitting at a table with a cell phone.	Only three women are visible, the fourth is completely hidden behind the man. The picture is mostly not blurry.	video-storytelling-videowedding_46xhFCXBMJs-shot34_2	2	0	0
331	0	0	1	A man in a suit and tie talking on a cell phone.	A man holds phone up to his left side, giving best profile to us, most completely here.	MSR-VTT-videoTestVideo_video9623-shot1_1	3	1	0
332	1	0	1	A man in a suit talking on a cell phone.	A man in suit and tie has left hand by face with eyes looking down	MSR-VTT-videoTestVideo_video9623-shot1_1	4	1	1
333	1	0	1	A pan filled with food on a stove top.	White plate is starting to come in from the left side of the image.	MSR-VTT-videoTestVideo_video7507-shot0_0	1	1	0
334	0	0	1	A person holding a fork in front of a frying pan.	The white plate is covering the left half of the pan on the stove.  The hand is not over the dish but is below and to the left of it. 	MSR-VTT-videoTestVideo_video7507-shot0_0	2	0	1
335	1	1	1	A red and white photo of a red and white billboard.	a brighter shot of a city scape with no people present in the image	MSR-VTT-videoTestVideo_video7803-shot2_0	0	0	1
337	1	0	1	A digital image of a woman sitting next to a digital image of a billboard.	The woman's face is popping up, it's blurry and her mouth is not showing yet.	MSR-VTT-videoTestVideo_video7803-shot2_0	2	0	0
339	1	0	1	A person holding a piece of cardboard in their hands.	The piece of paper in the person's hand is blocking most of the text of the blue object in the box.  It is also blocking a good portion of the logo on the object as well. 	MSR-VTT-videoTestVideo_video8290-shot1_0	5	0	1
340	0	1	1	A dog with a long hair standing in the grass.	Only one brown spot is visible on the white animal, towards the very bottom of the image	MSR-VTT-videoTestVideo_video9158-shot1_0	8	0	1
341	0	1	1	A baby drinking from a bottle in a room.	There is a woman sitting on the couch behind the baby but you can only see her left leg and arm.  You can't see her face at all. 	video-storytelling-videochristmas_5RR_sRzKODA-shot30_0	4	0	1
344	0	0	1	A woman holding a baby in a chair next to a man.	The man's right ear is barely visible on the left hand side of the image.  The woman has her mouth open and you can see her top teeth. 	MSR-VTT-videoTestVideo_video9569-shot1_1	6	1	1
345	1	0	1	A man standing next to a stage with a microphone.	The hands of the man in white are not visible.	MSR-VTT-videoTestVideo_video8403-shot1_1	0	1	1
347	0	0	1	A person is cooking fish in a pot.	Double exposure showing hands cutting into one centered crab leg above three other legs spread out on a silver pan, with longer sliver slash at bottom	YouCook-video0023-shot1_0	3	0	0
348	0	0	1	A person is holding a large fish in a pan.	Scissors are cutting the middle of a leg. A transparent image of a pan is faintly seen especially to the left.	YouCook-video0023-shot1_0	5	0	0
349	0	1	1	A bunch of cakes with different types of frosting.	A large brown swirl is almost fully visible in the top left corner of the image	MSR-VTT-videoTestVideo_video7566-shot2_1	2	1	0
351	1	0	1	A bunch of hot cakes in a basket on a shelf.	There is picture overlay with the first picture having slightly more visibility than the second. 	MSR-VTT-videoTestVideo_video7566-shot2_1	4	0	1
352	0	0	1	A man that is in a bathing suit.	There is equal overlay between two pictures.  One is of a picture of a man with a hat and the other is of a man fishing. 	MSR-VTT-videoTestVideo_video8025-shot1_0	2	0	1
353	1	0	1	A shelf full of books and cereal on top of each other.	You can for the first time no longer see the man's left hand on the right side of the picture.  	MSR-VTT-videoTestVideo_video9053-shot1_7	6	0	1
